sample_idx,latency
0,1624
1,680
2,700
3,720
4,696
5,692
6,716
7,704
8,688
9,664
10,688
11,712
12,708
13,688
14,716
15,708
16,708
17,672
18,696
19,708
20,664
21,704
22,692
23,656
24,700
25,692
26,696
27,712
28,688
29,676
30,716
31,684
32,692
33,684
34,688
35,712
36,696
37,708
38,692
39,692
40,696
41,704
42,696
43,700
44,688
45,680
46,684
47,712
48,708
49,668
50,676
51,724
52,692
53,652
54,696
55,684
56,704
57,704
58,704
59,684
60,712
61,696
62,700
63,692
64,708
65,660
66,696
67,712
68,712
69,700
70,700
71,700
72,660
73,624
74,688
75,688
76,684
77,688
78,704
79,704
80,684
81,708
82,712
83,704
84,704
85,704
86,696
87,696
88,704
89,700
90,704
91,696
92,708
93,676
94,612
95,696
96,684
97,684
98,676
99,692
100,716
101,696
102,708
103,712
104,700
105,700
106,664
107,656
108,700
109,708
110,708
111,700
112,704
113,724
114,692
115,608
116,600
117,644
118,708
119,684
120,700
121,712
122,708
123,712
124,704
125,700
126,720
127,700
128,668
129,704
130,708
131,708
132,692
133,692
134,720
135,672
136,608
137,688
138,700
139,684
140,688
141,700
142,696
143,684
144,704
145,704
146,688
147,728
148,692
149,692
150,700
151,712
152,696
153,704
154,700
155,696
156,664
157,676
158,688
159,700
160,708
161,704
162,704
163,688
164,700
165,708
166,700
167,680
168,724
169,684
170,696
171,724
172,708
173,712
174,684
175,684
176,680
177,632
178,688
179,620
180,708
181,700
182,692
183,708
184,696
185,708
186,724
187,688
188,720
189,700
190,676
191,700
192,704
193,700
194,712
195,692
196,720
197,696
198,608
199,604
200,696
201,692
202,692
203,708
204,696
205,720
206,696
207,708
208,684
209,716
210,656
211,668
212,708
213,708
214,704
215,684
216,704
217,716
218,680
219,688
220,604
221,708
222,688
223,704
224,708
225,704
226,688
227,700
228,712
229,688
230,700
231,704
232,700
233,704
234,708
235,704
236,680
237,684
238,712
239,696
240,608
241,692
242,656
243,700
244,700
245,712
246,708
247,700
248,712
249,708
250,688
251,708
252,692
253,672
254,688
255,700
256,696
257,688
258,680
259,700
260,680
261,620
262,688
263,708
264,708
265,696
266,700
267,716
268,696
269,704
270,700
271,688
272,720
273,680
274,668
275,688
276,704
277,700
278,688
279,688
280,716
281,696
282,608
283,600
284,704
285,716
286,692
287,692
288,700
289,692
290,696
291,708
292,688
293,716
294,668
295,664
296,696
297,708
298,684
299,700
300,696
