sample_idx,latency
0,2256
1,728
2,692
3,688
4,752
5,720
6,692
7,688
8,676
9,668
10,668
11,664
12,716
13,680
14,696
15,688
16,704
17,696
18,708
19,700
20,704
21,676
22,692
23,712
24,712
25,676
26,696
27,660
28,696
29,700
30,700
31,704
32,700
33,680
34,688
35,680
36,700
37,684
38,688
39,684
40,688
41,712
42,708
43,688
44,708
45,704
46,696
47,708
48,704
49,664
50,704
51,704
52,708
53,696
54,700
55,688
56,688
57,608
58,608
59,700
60,708
61,700
62,712
63,696
64,688
65,704
66,708
67,692
68,716
69,676
70,664
71,708
72,700
73,704
74,704
75,712
76,708
77,672
78,644
79,688
80,700
81,700
82,716
83,704
84,720
85,700
86,704
87,708
88,700
89,720
90,680
91,708
92,692
93,700
94,700
95,18304
96,688
97,732
98,724
99,1404
100,668
101,712
102,680
103,608
104,608
105,676
106,708
107,708
108,708
109,704
110,704
111,708
112,704
113,696
114,712
115,712
116,660
117,712
118,700
119,696
120,692
121,692
122,692
123,696
124,604
125,688
126,660
127,692
128,712
129,708
130,712
131,704
132,712
133,712
134,696
135,708
136,708
137,688
138,688
139,708
140,716
141,696
142,684
143,712
144,696
145,688
146,600
147,696
148,712
149,708
150,712
151,708
152,688
153,712
154,700
155,692
156,716
157,688
158,700
159,700
160,708
161,688
162,704
163,688
164,680
165,632
166,692
167,696
168,680
169,684
170,700
171,716
172,688
173,692
174,700
175,696
176,692
177,712
178,656
179,708
180,700
181,712
182,700
183,704
184,704
185,696
186,688
187,612
188,704
189,696
190,700
191,716
192,716
193,704
194,704
195,708
196,704
197,704
198,668
199,664
200,704
201,704
202,700
203,704
204,700
205,708
206,700
207,672
208,684
209,700
210,700
211,700
212,692
213,708
214,708
215,700
216,700
217,696
218,720
219,680
220,692
221,688
222,696
223,712
224,688
225,680
226,704
227,648
228,688
229,696
230,688
231,688
232,712
233,700
234,684
235,708
236,712
237,708
238,700
239,712
240,640
241,704
242,708
243,696
244,704
245,696
246,688
247,688
248,624
249,596
250,612
251,696
252,700
253,708
254,724
255,700
256,700
257,708
258,672
259,712
260,688
261,660
262,704
263,696
264,688
265,692
266,672
267,696
268,668
269,608
270,604
271,704
272,696
273,688
274,684
275,696
276,688
277,708
278,712
279,688
280,696
281,704
282,652
283,700
284,708
285,704
286,696
287,692
288,692
289,672
290,616
291,684
292,632
293,708
294,688
295,708
296,712
297,692
298,700
299,716
300,696
301,704
302,676
303,668
304,712
305,696
306,696
307,704
308,708
309,696
310,668
311,620
312,692
313,640
314,704
315,680
316,700
317,700
318,688
319,708
320,700
321,704
322,708
323,660
324,664
325,704
326,712
327,700
328,696
329,700
330,712
331,668
332,624
333,688
334,640
335,696
336,688
337,704
338,696
339,684
340,708
341,704
342,696
343,708
344,696
345,700
346,700
347,708
348,708
349,700
350,704
351,708
352,688
353,596
354,692
355,680
356,684
357,696
358,720
359,708
360,708
361,700
362,704
363,700
364,708
365,688
366,708
367,700
368,700
369,704
370,692
371,684
372,712
373,680
374,644
375,684
376,704
377,700
378,696
379,708
380,692
381,680
382,684
383,696
384,684
385,700
386,692
387,680
388,700
389,708
390,700
391,684
392,688
393,708
394,692
395,604
396,680
397,684
398,700
399,704
400,708
401,712
402,692
403,696
404,700
405,696
406,720
407,692
408,692
409,712
410,716
411,692
412,692
413,672
414,700
415,696
416,672
417,688
418,688
419,700
420,696
421,696
422,696
423,680
424,708
425,708
426,668
427,728
428,692
429,680
430,696
431,704
432,708
433,676
434,684
435,708
436,680
437,596
438,604
439,704
440,704
441,688
442,692
443,700
444,684
445,708
446,708
447,652
448,720
449,696
450,696
451,704
452,692
453,692
454,684
455,700
456,712
457,636
458,696
459,596
460,708
461,700
462,712
463,708
464,688
465,696
466,720
467,680
468,712
469,700
470,696
