sample_idx,latency
0,1564
1,640
2,696
3,680
4,712
5,716
6,708
7,728
8,704
9,688
10,700
11,712
12,664
13,692
14,688
15,692
16,688
17,720
18,704
19,696
20,688
21,692
22,712
23,708
24,664
25,716
26,700
27,684
28,684
29,700
30,704
31,704
32,680
33,692
34,692
35,688
36,608
37,688
38,644
39,704
40,700
41,700
42,704
43,696
44,716
45,704
46,688
47,708
48,684
49,676
50,700
51,704
52,696
53,712
54,704
55,692
56,672
57,608
58,692
59,668
60,708
61,704
62,700
63,696
64,716
65,712
66,720
67,692
68,696
69,696
70,688
71,688
72,704
73,700
74,672
75,704
76,716
77,680
78,664
79,684
80,708
81,688
82,708
83,700
84,696
85,688
86,712
87,716
88,708
89,696
90,688
91,692
92,700
93,692
94,700
95,676
96,680
97,700
98,688
99,692
100,688
101,704
102,704
103,700
104,692
105,708
106,700
107,704
108,700
109,676
110,720
111,684
112,692
113,708
114,708
115,712
116,700
117,700
118,680
119,644
120,688
121,696
122,708
123,692
124,708
125,720
126,692
127,708
128,700
129,688
130,708
131,700
132,652
133,712
134,708
135,704
136,704
137,696
138,708
139,664
140,624
141,696
142,640
143,712
144,688
145,700
146,712
147,696
148,692
149,716
150,692
151,708
152,700
153,668
154,700
155,712
156,704
157,676
158,696
159,712
160,684
161,640
162,684
163,712
164,700
165,708
166,704
167,708
168,704
169,704
170,716
171,660
172,712
173,692
174,680
175,700
176,704
177,708
178,676
179,684
180,672
181,684
182,688
183,600
184,684
185,696
186,700
187,708
188,704
189,700
190,712
191,708
192,664
193,716
194,676
195,676
196,692
197,708
198,708
199,692
200,696
201,704
202,688
203,684
204,688
205,696
206,700
207,708
208,708
209,680
210,680
211,704
212,704
213,668
214,696
215,692
216,668
217,684
218,704
219,704
220,688
221,680
222,700
223,696
224,648
225,688
226,692
227,704
228,696
229,696
230,700
231,688
232,700
233,704
234,696
235,716
236,692
237,708
238,708
239,720
240,700
241,704
242,712
243,684
244,620
245,688
246,660
247,708
248,700
249,708
250,700
251,700
252,712
253,712
254,700
255,704
256,696
257,664
258,704
259,708
260,712
261,692
262,688
263,692
264,676
265,608
266,688
267,704
268,704
269,696
270,696
271,696
272,700
273,712
274,708
275,708
276,708
277,700
278,672
279,700
280,704
281,696
282,684
283,680
284,712
285,668
286,616
287,684
288,652
289,692
290,700
291,700
292,708
293,704
294,716
295,704
296,684
297,716
298,676
299,664
300,692
301,704
302,692
303,696
304,688
305,720
306,676
307,600
308,600
309,640
310,708
311,692
312,696
313,692
314,700
315,708
316,712
317,688
318,720
319,704
320,660
321,700
322,704
323,688
324,696
325,704
326,712
327,676
328,612
329,596
330,700
331,680
332,672
333,692
334,704
335,700
336,708
337,716
338,700
339,700
340,684
341,664
342,696
343,700
344,704
345,680
346,680
347,716
348,668
349,616
350,600
351,704
352,704
353,688
354,700
355,708
356,688
357,708
358,692
359,700
360,696
361,684
362,660
363,704
364,700
365,700
366,704
367,688
368,716
369,700
370,604
371,596
372,656
373,700
374,704
375,700
376,708
377,700
378,716
379,708
380,700
381,720
382,692
383,668
384,688
385,696
386,708
387,688
388,700
389,692
390,696
391,604
392,600
393,664
394,704
395,696
396,704
397,700
398,700
399,708
400,704
401,704
402,708
403,688
404,684
405,704
406,708
407,712
408,688
409,700
410,712
411,692
412,688
413,600
414,696
415,704
416,712
417,712
418,712
419,700
420,692
421,708
422,696
423,732
424,684
425,696
426,700
427,692
428,704
429,680
430,668
431,708
432,644
433,664
434,684
435,692
436,692
437,700
438,688
439,668
440,700
441,712
442,692
443,704
444,700
445,660
446,696
447,696
448,696
449,692
450,696
451,688
452,680
453,640
454,604
455,608
456,684
457,680
458,708
459,720
460,688
461,688
462,700
463,688
464,688
465,732
466,676
467,700
468,708
469,704
470,700
471,684
472,700
473,680
474,628
475,692
476,624
477,708
478,680
479,704
480,704
481,672
482,704
483,704
484,712
485,708
486,700
487,680
488,696
489,704
490,692
491,692
492,692
493,684
494,712
495,628
496,692
497,620
498,688
499,680
500,708
501,708
502,684
503,696
504,696
505,700
506,684
507,712
508,680
509,704
510,704
511,688
512,700
513,716
514,680
515,692
516,700
517,700
518,688
519,712
520,672
521,696
522,700
523,704
524,688
525,708
526,680
527,704
528,632
529,600
530,604
531,692
532,684
533,704
534,708
535,696
536,688
537,704
538,704
539,676
540,700
541,664
542,700
543,704
544,692
545,700
546,708
547,692
548,704
549,636
550,688
551,696
552,704
553,684
554,708
555,720
556,692
557,700
558,720
559,676
560,704
561,700
562,656
563,688
564,708
565,708
566,692
567,668
568,696
569,664
570,624
571,692
572,692
573,708
574,700
575,700
576,708
577,700
578,712
579,696
580,700
581,724
582,692
583,664
584,712
585,704
586,692
587,688
588,696
589,724
590,672
591,684
592,600
593,676
594,700
595,708
596,708
597,700
598,700
599,704
600,712
601,700
602,708
603,680
604,700
605,696
606,688
607,684
608,692
609,664
610,708
611,688
612,604
613,684
614,700
615,708
616,708
617,696
618,680
619,696
620,700
621,696
622,700
623,712
624,680
625,688
626,700
627,704
628,700
629,692
630,700
631,664
632,624
633,684
634,696
635,704
636,684
637,696
638,708
639,684
640,692
641,716
642,704
643,696
644,712
645,656
646,704
647,708
648,704
649,704
650,700
651,704
652,684
653,668
654,608
655,700
656,696
657,716
658,708
659,708
660,700
661,708
662,708
663,684
664,708
665,680
666,700
667,700
668,704
669,700
670,700
671,708
672,712
673,696
674,604
675,604
676,680
677,712
678,704
679,712
680,712
681,700
682,708
683,704
684,696
685,704
686,692
687,680
688,704
689,688
690,704
691,684
692,684
693,716
694,688
695,636
696,684
697,692
698,684
699,712
700,708
701,688
702,692
703,700
704,712
705,696
706,724
707,664
708,712
709,704
710,696
711,708
712,700
713,684
714,700
715,624
716,696
717,624
718,696
719,692
720,704
721,700
722,684
723,684
724,696
725,692
726,692
727,704
728,696
729,700
730,700
731,704
732,700
733,696
734,684
735,664
736,640
737,696
738,692
739,676
740,692
741,700
742,700
743,672
744,704
745,704
746,700
747,700
748,688
749,676
750,696
751,704
752,716
753,692
754,692
755,696
756,672
757,636
758,684
759,692
760,692
761,708
762,720
763,704
764,708
765,708
766,712
767,700
768,708
769,668
770,700
771,696
772,704
773,692
774,684
775,704
776,704
777,680
778,604
779,668
780,652
781,704
782,716
783,704
784,708
785,704
786,708
787,712
788,692
789,720
790,712
791,668
792,692
793,700
794,700
795,696
796,692
797,708
798,688
799,608
800,656
801,700
802,704
803,696
804,716
805,708
806,696
807,708
808,700
809,696
810,708
811,680
812,668
813,700
814,724
815,704
816,688
817,692
818,700
819,696
820,612
821,608
822,636
823,708
824,688
825,712
826,704
