sample_idx,latency
0,1628
1,688
2,716
3,672
4,684
5,760
6,704
7,684
8,684
9,676
10,664
11,660
12,680
13,684
14,692
15,684
16,684
17,692
18,700
19,672
20,708
21,704
22,668
23,688
24,704
25,708
26,660
27,708
28,688
29,696
30,676
31,700
32,696
33,700
34,708
35,708
36,708
37,704
38,608
39,692
40,688
41,684
42,704
43,708
44,692
45,696
46,700
47,700
48,688
49,716
50,680
51,672
52,704
53,700
54,704
55,692
56,680
57,708
58,688
59,600
60,688
61,684
62,684
63,704
64,708
65,704
66,700
67,716
68,704
69,696
70,708
71,676
72,684
73,704
74,688
75,708
76,692
77,676
78,684
79,696
80,688
81,684
82,704
83,692
84,708
85,712
86,704
87,712
88,708
89,700
90,708
91,712
92,660
93,696
94,700
95,692
96,688
97,700
98,692
99,692
100,600
101,596
102,648
103,700
104,696
105,688
106,708
107,704
108,704
109,708
110,704
111,708
112,700
113,660
114,692
115,712
116,704
117,708
118,676
119,708
120,668
121,692
122,680
123,656
124,716
125,704
126,704
127,704
128,696
129,704
130,696
131,696
132,716
133,692
134,680
135,704
136,712
137,704
138,688
139,680
140,700
141,680
142,636
143,688
144,692
145,696
146,712
147,696
148,708
149,700
150,708
151,700
152,696
153,728
154,676
155,688
156,712
157,700
158,700
159,680
160,688
161,716
162,688
163,600
164,692
165,684
166,704
167,692
168,700
169,708
170,696
171,700
172,696
173,688
174,720
175,688
176,712
177,712
178,696
179,696
180,696
181,708
182,684
183,628
184,684
185,688
186,676
187,700
188,704
189,696
190,684
191,708
192,708
193,684
194,704
195,700
196,708
197,696
198,704
199,708
200,700
201,704
202,708
203,704
204,648
205,688
206,708
207,688
208,708
209,708
210,692
211,692
212,704
213,696
214,696
215,720
216,692
217,696
218,704
219,696
220,720
221,684
222,692
223,712
224,688
225,596
226,600
227,688
228,716
229,696
230,712
231,704
232,684
233,704
234,692
235,676
236,716
237,696
238,688
239,716
240,700
241,708
242,692
243,688
244,712
245,632
246,688
247,688
248,692
249,704
250,700
251,708
252,688
253,704
254,712
255,696
256,716
257,716
258,668
259,700
260,704
261,700
262,700
263,692
264,696
265,684
266,612
267,684
268,668
269,704
270,708
271,708
272,708
273,696
274,696
275,696
276,680
277,712
278,660
279,676
280,708
281,716
282,708
283,700
284,696
285,732
286,680
287,600
288,604
289,700
290,700
291,712
292,704
293,708
294,700
295,712
296,708
297,688
298,724
299,688
300,676
301,700
302,708
303,704
304,696
305,684
306,700
307,692
308,604
309,596
310,696
311,704
312,696
313,696
314,708
315,688
316,692
317,696
318,704
319,708
320,696
321,664
322,708
323,708
324,700
325,700
326,688
327,696
328,708
329,648
330,688
331,696
332,696
333,704
334,712
335,692
336,704
337,704
338,712
339,692
340,720
341,680
342,676
343,700
344,704
345,700
346,676
347,696
348,680
349,668
350,604
351,692
352,692
353,692
354,712
355,708
356,700
357,696
358,704
359,700
360,708
361,720
362,696
363,692
364,700
365,680
366,708
367,700
368,680
369,708
370,688
371,684
372,696
373,676
374,684
375,692
376,688
377,676
378,692
379,712
380,708
381,680
382,712
383,652
384,700
385,704
386,712
387,692
388,704
389,692
390,704
391,604
392,604
393,620
394,704
395,684
396,696
397,704
398,704
399,704
400,708
401,700
402,684
403,704
404,696
405,700
406,704
407,708
408,700
409,704
410,716
411,672
412,620
413,684
414,684
415,696
416,700
417,720
418,704
419,704
420,708
421,692
422,688
423,720
424,692
425,672
426,712
427,700
428,708
429,680
430,676
431,700
432,684
433,608
434,692
435,664
436,704
437,704
438,716
439,708
440,700
441,712
442,712
443,708
444,708
445,696
446,688
447,700
448,700
449,704
450,696
451,684
452,724
453,696
454,596
455,608
456,668
457,700
458,708
459,700
460,708
461,692
462,708
463,708
464,684
465,716
466,692
467,700
468,708
469,696
470,688
471,704
472,680
473,716
474,684
475,652
476,684
477,708
478,716
479,696
480,692
481,700
482,700
483,700
484,708
485,684
486,700
487,676
488,696
489,692
490,696
491,688
492,700
493,696
494,708
495,628
496,676
497,684
498,708
499,700
500,696
501,708
502,700
503,700
504,708
505,700
506,680
507,712
508,696
509,688
510,696
511,704
512,708
513,676
514,692
515,692
516,696
517,704
518,720
519,688
520,688
521,692
522,700
523,708
524,700
525,688
526,716
527,688
528,688
529,600
530,704
531,688
532,704
533,22704
534,692
535,704
536,704
537,700
538,684
539,716
540,696
541,688
542,704
543,700
544,696
545,704
546,684
547,680
548,692
549,592
550,684
551,704
552,712
553,696
554,704
555,688
556,696
557,716
558,708
559,688
560,708
561,676
562,684
563,692
564,708
565,704
566,680
567,680
568,704
569,672
570,632
571,688
572,688
573,704
574,696
575,704
576,696
577,688
578,696
579,704
580,704
581,720
582,696
583,708
584,700
585,700
586,700
587,676
588,680
589,676
590,692
591,596
592,688
593,696
594,692
595,700
596,688
597,684
598,696
599,684
600,708
601,692
602,704
603,664
604,704
605,716
606,712
607,696
608,708
609,692
610,704
611,632
612,684
613,696
614,704
615,704
616,708
617,700
618,700
619,700
620,700
621,692
622,708
623,680
624,672
625,692
626,704
627,700
628,704
629,684
630,716
631,700
632,608
633,604
634,704
635,704
636,712
637,700
638,700
639,700
640,712
641,708
642,708
643,712
644,696
645,668
646,696
647,700
648,700
649,704
650,684
651,712
652,688
653,600
654,612
655,656
656,700
657,716
658,704
659,688
660,704
661,700
662,704
663,704
664,716
665,680
666,672
667,712
668,708
669,696
670,704
671,684
672,716
673,692
674,684
675,684
676,696
677,708
678,708
679,700
680,704
681,684
682,700
683,700
684,696
685,716
686,668
687,696
688,708
689,692
690,700
691,696
692,684
693,696
694,640
695,604
696,612
697,696
698,716
699,696
700,712
701,704
702,692
703,700
704,700
705,684
706,720
707,692
708,684
709,704
710,676
711,688
712,700
713,704
714,668
715,688
716,684
717,696
718,684
719,696
720,696
721,708
722,688
723,704
724,712
725,708
726,708
727,696
728,664
729,708
730,708
731,712
732,676
733,696
734,712
735,684
736,660
737,608
738,692
739,700
740,716
741,708
742,696
743,688
744,712
745,704
746,700
747,708
748,684
749,680
750,712
751,700
752,704
753,676
754,676
755,716
756,680
757,660
758,596
759,668
760,704
761,708
762,712
763,696
764,684
765,704
766,704
767,712
768,724
769,700
770,696
771,696
772,700
773,712
774,684
775,696
776,712
777,684
778,604
779,696
780,696
781,712
782,700
783,712
784,708
785,688
786,708
787,704
788,704
789,708
790,668
791,700
792,712
793,700
794,708
795,700
796,716
797,672
798,604
799,608
800,632
801,704
802,692
803,680
804,700
805,688
806,712
807,716
808,696
809,708
810,708
811,660
812,704
813,712
814,696
815,704
816,712
817,708
818,692
819,616
820,612
821,704
822,704
823,704
824,704
825,700
826,704
827,708
828,704
829,696
830,716
831,684
832,652
833,700
834,708
835,700
836,696
837,704
838,712
839,680
840,600
841,600
842,704
843,708
844,692
845,704
846,704
847,676
848,692
849,704
850,700
851,724
852,676
853,660
854,700
855,720
856,696
857,680
858,676
859,700
860,668
861,616
862,700
863,692
864,700
865,712
866,700
867,708
868,704
869,708
870,712
871,700
872,704
873,680
874,688
875,696
876,712
877,688
878,688
879,696
880,696
881,684
882,612
883,680
884,700
885,712
886,704
887,704
888,704
889,700
890,700
891,704
892,688
893,708
894,688
895,684
896,700
897,704
898,716
899,692
900,672
901,680
902,676
903,596
904,596
905,664
906,712
907,700
908,692
909,708
910,700
911,724
912,700
913,688
914,716
915,692
916,676
917,712
918,712
919,700
920,676
921,704
922,696
923,700
924,672
925,692
926,696
927,684
928,704
929,708
930,692
931,700
932,712
933,696
934,680
935,712
936,684
937,696
938,696
939,712
940,708
941,708
942,708
943,684
944,620
945,604
946,612
947,696
948,692
949,704
950,692
951,684
952,700
953,704
954,700
955,676
956,696
957,692
958,692
959,708
960,708
961,700
962,688
963,700
964,684
965,620
966,596
967,608
968,700
969,696
970,712
971,708
972,700
973,704
974,692
975,700
976,676
977,720
978,684
979,700
980,700
981,696
982,692
983,700
984,696
985,704
986,632
987,688
988,624
989,696
990,680
991,692
992,688
993,704
994,704
995,712
996,700
997,688
998,700
999,688
1000,700
1001,712
1002,684
1003,696
1004,696
1005,688
1006,684
1007,616
1008,604
1009,680
1010,696
1011,700
1012,696
1013,700
1014,680
1015,696
1016,708
1017,704
1018,684
1019,712
1020,688
1021,696
1022,696
1023,696
1024,696
1025,692
1026,700
1027,708
1028,720
1029,672
1030,716
1031,692
1032,676
1033,708
1034,720
1035,708
1036,700
1037,692
1038,680
1039,684
1040,608
1041,692
1042,692
1043,716
1044,692
1045,716
1046,696
1047,700
1048,716
1049,708
1050,660
1051,728
1052,672
1053,684
1054,704
1055,708
1056,712
1057,704
1058,696
1059,684
1060,700
1061,656
1062,684
1063,684
1064,704
1065,684
1066,684
1067,700
1068,700
1069,700
