sample_idx,latency
0,1816
1,688
2,692
3,684
4,704
5,692
6,600
7,684
8,736
9,684
10,704
11,708
12,676
13,700
14,700
15,700
16,680
17,724
18,688
19,692
20,704
21,700
22,704
23,708
24,704
25,692
26,700
27,636
28,692
29,696
30,712
31,696
32,704
33,692
34,692
35,704
36,708
37,708
38,696
39,676
40,656
41,704
42,704
43,704
44,696
45,692
46,700
47,668
48,612
49,684
50,652
51,708
52,692
53,700
54,696
55,704
56,712
57,716
58,696
59,720
60,700
61,680
62,700
63,716
64,716
65,688
66,680
67,716
68,688
69,672
70,684
71,700
72,704
73,700
74,700
75,696
76,692
77,696
78,700
79,680
80,708
81,684
82,688
83,688
84,692
85,712
86,696
87,680
88,688
89,680
90,608
91,692
92,684
93,696
94,696
95,700
96,692
97,700
98,708
99,708
100,696
101,708
102,688
103,680
104,708
105,716
106,700
107,680
108,700
109,684
110,692
111,668
112,684
113,692
114,688
115,708
116,708
117,680
118,688
119,708
120,696
121,680
122,692
123,684
124,684
125,700
126,700
127,696
128,676
129,700
130,704
131,688
132,684
133,696
134,672
135,684
136,704
137,716
138,684
139,704
140,720
141,704
142,696
143,708
144,656
145,696
146,704
147,680
148,708
149,696
150,716
151,668
152,688
153,604
154,648
155,716
156,700
157,712
158,704
159,688
160,708
161,700
162,700
163,708
164,708
165,660
166,700
167,696
168,708
169,704
170,688
171,712
172,672
173,624
174,608
175,612
176,684
177,692
178,708
179,704
180,700
181,696
182,704
183,704
184,672
185,712
186,692
187,716
188,704
189,700
190,704
191,684
192,712
193,676
194,628
195,688
196,692
197,696
198,688
199,700
200,708
201,692
202,712
203,712
204,696
205,720
206,704
207,648
208,708
209,716
210,696
211,700
212,676
213,700
214,680
215,604
216,692
217,696
218,700
219,704
220,704
221,700
222,704
223,716
224,708
225,680
226,728
227,676
228,692
229,696
230,704
231,700
232,680
233,704
234,712
235,680
236,692
237,608
238,700
239,712
240,704
241,704
242,704
243,700
244,704
245,700
246,700
247,708
248,652
249,700
250,692
251,708
252,692
253,704
254,684
255,680
256,688
257,688
258,696
259,708
260,716
261,716
262,692
263,700
264,712
265,700
266,700
267,732
268,704
269,704
270,708
271,704
272,712
273,676
274,692
275,728
276,684
277,692
278,600
279,696
280,692
281,700
282,712
283,700
284,700
285,704
286,716
287,696
288,704
289,668
290,696
291,696
292,700
293,712
294,700
295,696
296,704
297,632
298,676
299,620
300,700
301,680
302,708
303,712
304,680
305,688
306,708
307,708
308,708
309,704
310,664
311,708
312,708
313,700
314,680
315,680
316,716
317,672
318,672
319,684
320,696
321,688
322,712
323,704
324,692
325,708
326,716
327,696
328,712
329,716
330,696
331,680
332,692
333,712
334,720
335,680
336,672
337,716
338,684
339,612
340,684
341,676
342,688
343,696
344,692
345,720
346,704
347,708
348,712
349,704
350,720
351,696
352,696
353,700
354,700
355,704
356,680
357,696
358,720
359,700
360,672
361,680
362,688
363,700
364,708
365,704
366,708
367,688
368,700
369,704
370,696
371,692
372,668
373,704
374,708
375,700
376,708
377,708
378,704
379,680
380,624
381,684
382,616
383,704
384,680
385,696
386,700
387,680
388,712
389,704
390,700
391,692
392,712
393,672
394,700
395,716
396,680
397,704
398,688
399,692
400,664
401,624
402,600
403,612
404,696
405,696
406,704
407,708
408,684
409,704
410,716
411,700
412,696
413,696
414,660
415,708
416,700
417,704
418,696
419,696
420,700
421,664
422,616
423,608
424,608
425,688
426,684
427,712
428,700
429,704
430,704
431,688
432,696
433,692
434,708
435,664
436,700
437,712
438,696
439,704
440,696
441,680
442,684
443,628
444,684
445,700
446,700
447,688
448,704
449,704
450,688
451,720
452,708
453,692
454,700
455,708
456,696
457,700
458,700
459,700
460,700
461,700
462,716
463,688
464,604
465,608
466,704
467,712
468,712
469,704
470,704
471,696
472,696
473,704
474,696
475,712
476,692
477,672
478,700
479,700
480,688
481,692
482,688
483,712
484,684
485,600
486,696
487,680
488,708
489,708
490,704
491,704
492,676
493,700
494,704
495,708
496,728
497,700
498,688
499,700
500,708
501,704
502,688
503,700
504,716
505,692
506,676
507,688
508,684
509,688
510,696
511,708
512,688
513,712
514,696
515,708
516,672
517,632
518,688
519,632
520,704
521,696
522,700
523,708
524,696
525,696
526,684
527,700
528,684
529,712
530,692
531,704
532,708
533,700
534,696
535,704
536,688
537,680
538,712
539,716
540,680
541,684
542,716
543,688
544,692
545,672
546,668
547,704
548,696
549,688
550,692
551,692
552,700
553,704
554,712
555,684
556,708
557,708
558,704
559,676
560,716
561,668
562,704
563,716
564,700
565,700
566,696
567,704
568,668
569,632
570,604
571,688
572,684
573,692
574,716
575,684
576,676
577,700
578,692
579,700
580,680
581,712
582,676
583,692
584,704
585,708
586,704
587,700
588,688
589,700
590,612
591,596
592,692
593,688
594,692
595,696
596,708
597,680
598,696
599,704
600,668
601,684
602,708
603,652
604,692
605,708
606,700
607,696
608,704
609,692
610,676
611,628
612,684
613,704
614,696
615,700
616,712
617,704
618,692
619,700
620,712
621,676
622,712
623,700
624,656
625,708
626,696
627,708
628,696
629,696
630,700
631,676
632,616
633,596
634,640
635,692
636,692
637,700
638,716
639,684
640,696
641,696
642,704
643,672
644,712
645,684
646,696
647,708
648,696
649,704
650,700
651,700
652,680
653,636
654,688
655,700
656,700
657,684
658,688
659,704
660,680
661,700
662,708
663,684
664,680
665,692
666,684
667,684
668,708
669,712
670,700
671,704
672,700
673,672
674,632
675,604
676,688
677,688
678,688
679,692
680,700
681,692
682,696
683,696
684,700
685,692
686,700
687,648
688,692
689,712
690,704
691,692
692,700
693,700
694,664
695,628
696,608
697,616
698,692
699,668
700,696
701,704
702,700
703,696
704,708
705,696
706,676
707,708
708,684
709,700
710,720
711,704
712,712
713,692
714,680
715,680
716,616
717,684
718,636
719,692
720,692
721,696
722,712
723,692
724,716
725,712
726,688
727,716
728,684
729,668
730,696
731,704
732,704
733,696
734,688
735,696
736,684
737,608
738,596
739,668
740,692
741,696
742,708
743,700
744,692
745,712
746,708
747,672
748,700
749,676
750,664
751,720
752,712
753,700
754,700
755,696
756,720
757,696
758,668
759,600
760,708
761,700
762,708
763,692
764,692
765,696
766,708
767,708
768,700
769,724
770,684
771,684
772,696
773,712
774,712
775,688
776,688
777,680
778,668
779,636
780,688
781,696
782,700
783,704
784,704
785,700
786,688
787,720
788,708
789,656
790,716
791,684
792,680
793,700
794,704
795,712
796,692
797,712
798,716
799,684
800,600
801,676
802,696
803,696
804,708
805,700
806,688
807,708
808,700
809,712
810,696
811,696
812,660
813,704
814,708
815,708
816,696
817,676
818,716
819,696
820,604
821,604
822,660
823,704
824,688
825,696
826,696
827,692
828,704
829,708
830,704
831,704
832,680
833,696
834,712
835,704
836,708
837,700
838,692
839,708
840,700
841,612
842,608
843,652
844,708
845,720
846,712
847,700
848,680
849,712
850,692
851,700
852,700
853,700
854,668
855,708
856,696
857,696
858,684
859,704
860,720
861,680
862,608
863,696
864,676
865,704
866,712
867,704
868,680
869,692
870,708
871,696
872,672
873,704
874,684
875,676
876,700
877,712
878,696
879,676
880,696
881,708
882,672
883,692
884,696
885,668
886,696
887,700
888,696
889,696
890,692
891,716
892,716
893,652
894,712
895,680
896,680
897,704
898,704
899,704
900,688
901,692
902,716
903,696
904,692
905,688
906,704
907,684
908,692
909,704
910,676
911,688
912,712
913,708
914,672
915,688
916,676
917,708
918,692
919,700
920,700
921,684
922,700
923,700
924,624
925,596
926,612
927,692
928,712
929,712
930,704
931,704
932,708
933,696
934,704
935,676
936,724
937,680
938,696
939,716
940,708
941,696
942,712
943,700
944,696
945,620
946,596
947,624
948,688
949,696
950,696
951,700
952,684
953,700
954,692
955,708
956,676
957,708
958,688
959,716
960,720
961,704
962,696
963,696
964,684
965,664
966,636
967,596
968,692
969,704
970,680
971,708
972,700
973,688
974,712
975,708
976,692
977,692
978,696
979,664
980,704
981,708
982,704
983,708
984,700
985,704
986,676
987,620
988,680
989,632
990,708
991,692
992,712
993,708
994,700
995,708
996,708
997,680
998,728
999,684
1000,696
1001,704
1002,704
1003,708
1004,672
1005,696
1006,708
1007,692
1008,596
1009,600
1010,660
1011,708
1012,692
1013,696
1014,708
1015,700
1016,720
1017,712
1018,704
1019,704
1020,688
1021,688
1022,708
1023,716
1024,676
1025,708
1026,704
1027,696
1028,696
1029,716
1030,688
1031,688
1032,708
1033,684
1034,696
1035,708
1036,704
1037,704
1038,632
1039,604
1040,616
1041,692
1042,692
1043,708
1044,696
1045,704
1046,708
1047,700
1048,700
1049,708
1050,700
1051,660
1052,704
1053,720
1054,704
1055,684
1056,680
1057,716
1058,700
1059,648
1060,688
1061,684
1062,704
1063,704
1064,712
1065,692
1066,700
1067,712
1068,716
1069,676
1070,728
1071,672
1072,696
1073,692
1074,700
1075,684
1076,676
1077,700
1078,720
1079,676
1080,692
1081,684
1082,700
1083,712
1084,704
1085,704
1086,704
1087,700
1088,708
1089,700
1090,700
1091,712
1092,660
1093,704
1094,708
1095,700
1096,700
1097,696
1098,700
1099,676
1100,636
1101,684
1102,696
1103,704
1104,716
1105,708
1106,696
1107,708
1108,700
1109,712
1110,692
1111,720
1112,676
1113,676
1114,700
1115,712
1116,708
1117,688
1118,656
1119,712
1120,684
1121,604
1122,588
1123,660
1124,696
1125,708
1126,692
1127,708
1128,704
1129,704
1130,708
1131,696
1132,716
1133,676
1134,664
1135,700
1136,704
1137,708
1138,692
1139,692
1140,700
1141,692
1142,608
1143,684
1144,664
1145,708
1146,700
1147,704
1148,700
1149,708
1150,712
1151,700
1152,672
1153,724
1154,672
1155,668
1156,692
1157,696
1158,704
1159,684
1160,704
1161,688
1162,668
1163,612
1164,608
1165,696
1166,704
1167,704
1168,696
1169,712
1170,700
1171,716
1172,708
1173,692
1174,696
1175,684
1176,660
1177,696
1178,712
1179,700
1180,692
1181,680
1182,708
1183,672
1184,608
1185,604
1186,620
1187,700
1188,692
1189,688
1190,708
1191,688
1192,704
