scalar_hex,label,ITS,run,mean,std
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,all_F,500,0,694.853271484375,241.13652701768132
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,all_F,500,1,694.5514526367188,208.18116289324354
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,all_F,500,2,694.514404296875,233.04497629032224
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,all_F,500,3,695.420166015625,226.79107483448684
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,all_F,500,4,694.6809692382812,238.16619691953613
00000000000000000000000000000000,all_0,500,0,694.34326171875,210.19404131283952
00000000000000000000000000000000,all_0,500,1,694.0576171875,203.53973429793064
00000000000000000000000000000000,all_0,500,2,695.0551147460938,219.83205817893136
00000000000000000000000000000000,all_0,500,3,694.757568359375,238.8465217529075
00000000000000000000000000000000,all_0,500,4,694.6748046875,208.71964180909035
00000000000000000000000000000001,low_1,500,0,693.98828125,196.84555920588392
00000000000000000000000000000001,low_1,500,1,694.308349609375,208.0990649630294
00000000000000000000000000000001,low_1,500,2,694.275146484375,207.00063565506176
00000000000000000000000000000001,low_1,500,3,694.047119140625,214.27396199165003
00000000000000000000000000000001,low_1,500,4,694.1797485351562,209.75635725577925
123456789ABCDEF123456789ABCDEF12,pattern,500,0,694.478515625,214.71057355844547
123456789ABCDEF123456789ABCDEF12,pattern,500,1,694.55224609375,214.1869567600393
123456789ABCDEF123456789ABCDEF12,pattern,500,2,694.4970703125,219.02369706091037
123456789ABCDEF123456789ABCDEF12,pattern,500,3,694.7301025390625,229.29579728683964
123456789ABCDEF123456789ABCDEF12,pattern,500,4,694.2805786132812,210.89817083877654
80000000000000000000000000000000,msb_1,500,0,694.5281372070312,210.65300230398876
80000000000000000000000000000000,msb_1,500,1,694.281005859375,209.40309662359516
80000000000000000000000000000000,msb_1,500,2,694.660888671875,236.02058293698323
80000000000000000000000000000000,msb_1,500,3,694.6105346679688,213.804479080217
80000000000000000000000000000000,msb_1,500,4,694.4762573242188,215.47927420648807
