trial,type,int_eliminated,int_not_eliminated,instructions,cycles,time_sec
1,high,174574562,225446967,600155271,134121365,
1,low,15928,2129,600155285,182615247,
2,high,174146641,225874408,600155265,133960251,
2,low,16027,2088,600155284,182558070,
3,high,174270902,225750605,600155265,133877719,
3,low,15925,2138,600155285,182470309,
4,high,173294447,226726464,600155262,134337215,
4,low,15988,2137,600155284,182520278,
5,high,174441655,225579657,600155264,133806828,
5,low,16208,2199,600155286,182573604,
6,high,174356101,225665953,600155269,133859844,
6,low,15818,2123,600155285,182813393,
7,high,173872766,226148485,600155266,134059560,
7,low,15871,2084,600155286,182588171,
8,high,173775616,226245629,600155266,134098611,
8,low,15914,2139,600155286,182433784,
9,high,174483018,225537383,600155256,133778634,
9,low,15656,2068,600155285,182435888,
10,high,173724427,226297271,600155265,134158603,
10,low,16099,2166,600155284,182316962,
11,high,174218378,225803430,600155274,133922878,
11,low,16027,2142,600155284,182715490,
12,high,173853895,226167332,600155266,134085365,
12,low,16049,2149,600155285,182516982,
13,high,174067995,225953344,600155265,133910508,
13,low,15965,2132,600155276,182297950,
14,high,174225181,225796162,600155264,133831443,
14,low,16191,2131,600155285,182539877,
15,high,174504626,225516362,600155264,133754928,
15,low,16057,2171,600155285,182476808,
16,high,174529826,225491434,600155264,133783482,
16,low,15983,2178,600155283,182197837,
17,high,173954845,226066183,600155264,134048215,
17,low,15962,2172,600155276,182523679,
18,high,173184998,226835945,600155258,135315482,
18,low,16016,2167,600155285,182416102,
19,high,174271771,225749655,600155265,133879452,
19,low,15987,2154,600155285,182543037,
20,high,174813542,225207641,600155267,134285477,
20,low,16051,2157,600155284,182522819,
21,high,174277173,225743380,600155257,134811835,
21,low,15861,2127,600155276,182620402,
22,high,174378163,225643164,600155264,134436325,
22,low,16081,2125,600155276,182047926,
23,high,174388638,225631701,600155257,133822900,
23,low,15955,2199,600155283,182449675,
24,high,174317229,225704439,600155264,133802582,
24,low,15848,2107,600155284,182699749,
25,high,174216218,225804113,600155256,133903110,
25,low,15997,2113,600155284,182558960,
26,high,174491486,225529015,600155257,134705036,
26,low,15730,2098,600155284,182440300,
27,high,174510158,225509944,600155256,134684619,
27,low,15715,2043,600155284,183065368,
28,high,173975881,226044394,600155258,134924439,
28,low,16019,2122,600155284,182446337,
29,high,173825545,226194745,600155257,134938513,
29,low,15990,2120,600155285,182443628,
30,high,172880715,227139600,600155257,134493246,
30,low,15907,2148,600155285,182531582,
31,high,174621336,225399981,600155264,133653309,
31,low,16051,2135,600155276,182613206,
32,high,174494122,225527292,600155269,133814929,
32,low,16160,2149,600155285,182453800,
33,high,175017210,225003108,600155258,133547794,
33,low,16319,2218,600155276,182483658,
34,high,173948334,226071886,600155258,134018225,
34,low,15891,2156,600155284,182545312,
35,high,174028258,225993090,600155265,134018279,
35,low,15756,2154,600155284,182586876,
36,high,173681951,226338638,600155256,134140416,
36,low,15897,2085,600155275,182325109,
37,high,173848449,226174716,600155265,133851461,
37,low,16009,2109,600155278,182558472,
38,high,174564402,225456877,600155266,133698535,
38,low,15943,2164,600155286,182358382,
39,high,174293579,225727604,600155265,133859696,
39,low,15869,2139,600155275,182362883,
40,high,174556969,225464516,600155264,134467661,
40,low,16053,2157,600155283,182443058,
41,high,173948791,226071382,600155256,134017753,
41,low,15896,2185,600155284,182599965,
42,high,173256619,226765122,600155266,134323761,
42,low,16129,2135,600155276,182278361,
43,high,174037599,225983805,600155265,134014291,
43,low,15932,2003,600155285,182521677,
44,high,173146756,226873366,600155257,134378505,
44,low,15898,2158,600155284,182568827,
45,high,173948165,226071883,600155256,134017937,
45,low,15829,2119,600155286,182422818,
46,high,173852929,226168289,600155266,134083933,
46,low,15861,2153,600155276,182478721,
47,high,174835171,225185753,600155266,134216423,
47,low,15996,2144,600155284,182538810,
48,high,174037800,225984131,600155273,133887561,
48,low,15991,2112,600155284,182360545,
49,high,172835777,227184546,600155256,134516336,
49,low,15753,2132,600155287,182512179,
50,high,173604947,226415923,600155264,134200319,
50,low,16049,2200,600155287,182318578,
51,high,174097232,225925025,600155264,133948227,
51,low,16103,2121,600155283,182348197,
52,high,173813423,226207297,600155256,134094901,
52,low,15921,2104,600155283,182557772,
53,high,173770775,226250459,600155264,134127938,
53,low,15698,2116,600155293,182506211,
54,high,174180627,225840456,600155264,133952568,
54,low,15972,2168,600155281,182613929,
55,high,174184538,225836569,600155257,133698182,
55,low,16139,2168,600155284,182598308,
56,high,174215562,225804697,600155257,133902077,
56,low,15860,2115,600155283,182333308,
57,high,174417011,225604061,600155264,133792080,
57,low,15709,2126,600155285,182460980,
