run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
0001,8571734,25070086,10760149,22883007
0002,8573256,25068640,10717662,22925634
0003,8571688,25070121,10801223,22842007
0004,8572599,25068931,10770224,22872565
0005,8571792,25069910,10801964,22842120
0006,8571666,25070170,10770650,22872951
0007,8571851,25070030,10737233,22905926
0008,8571335,25070066,10794365,22849063
0009,8571347,25070112,10802526,22840562
0010,8571531,25070083,10735028,22907919
0011,8571504,25070082,10804141,22838584
0012,9951476,23700988,10792165,22850812
0013,8571411,25070226,10820684,22823200
0014,8571537,25070080,10760513,22883104
0015,8571610,25070034,10795199,22847422
0016,8571772,25070078,10751057,22892412
0017,8571472,25070096,10797848,22845378
0018,8571359,25069992,10793397,22850104
0019,8571120,25070209,10718095,22925566
0020,8571750,25070190,10742462,22901150
0021,8571502,25070090,10783289,22860431
0022,8574531,25068100,10736510,22907225
0023,8571816,25069948,10812519,22831202
0024,8574432,25068022,10817418,22826221
0025,8571530,25070064,10756829,22886685
0026,8571665,25070130,10722963,22920130
0027,8574799,25067640,10752664,22890276
0028,8571387,25070131,10810018,22833047
0029,8576241,25066442,10758742,22884724
0030,8571395,25070021,10766464,22876964
0031,8571453,25070111,10746904,22896188
0032,8571373,25069967,10728517,22914912
0033,8571632,25070032,10780308,22862983
0034,8571397,25070026,10771118,22872014
0035,8571688,25070082,10806357,22837160
0036,8571774,25070011,10800026,22843580
0037,8571366,25070060,10793335,22850523
0038,8571409,25070123,10753293,22889086
0039,8571461,25070062,10744296,22899441
0040,8571538,25070144,10762061,22880925
0041,8571674,25070110,10782731,22860749
0042,8571574,25069874,10776418,22866138
0043,8571363,25070092,10791304,22851656
0044,8571690,25070000,10748029,22895195
0045,8571341,25070133,10763522,22879783
0046,8571807,25070086,10708531,22934840
0047,8571482,25070119,10758980,22884513
0048,8571929,25070021,10778415,22864542
0049,8571815,25069968,10737342,22905407
0050,8571731,25070070,10720885,22922120
0051,8571142,25070061,10744844,22898974
0052,8571555,25069918,10733241,22910453
0053,8571201,25070062,10776207,22867248
0054,8571367,25069953,10727027,22916559
0055,8571262,25070023,10730432,22913174
0056,8571318,25069991,10749846,22893719
0057,8575724,25067030,10726433,22916802
0058,8571719,25070005,10789824,22853143
0059,8571381,25070103,10768194,22875444
0060,8571479,25070144,10784538,22858698
0061,8571738,25069947,10770846,22872404
0062,8571585,25070128,10793660,22849779
0063,8571862,25069957,10783499,22859581
0064,8586516,25055121,10783894,22859069
0065,8585984,25055950,10703848,22939854
0066,8583954,25057677,10754993,22888367
0067,8583040,25058886,10740712,22902052
0068,8586080,25055755,10777427,22865961
0069,8583383,25058335,10730862,22912504
0070,8571573,25070098,10819173,22823944
0071,8593062,25049180,10742580,22900716
0072,8572701,25069161,10736283,22906987
0073,8571514,25070038,10795635,22847504
0074,8571443,25070050,10762843,22880755
0075,8571397,25070040,10725264,22918030
0076,8584964,25056234,10760280,22882950
0077,8571626,25070087,10732920,22910832
0078,8571427,25070036,10800902,22842724
0079,8571623,25070192,10761389,22882493
0080,8571815,25069969,10737728,22905367
0081,8571273,25070217,10771940,22871253
0082,8571484,25070058,10755477,22887499
0083,8580099,25061989,10794665,22848260
0084,8582864,25059082,10776184,22867844
0085,8571392,25070042,10808216,22835176
0086,8571203,25070196,10801821,22842040
0087,8571595,25069949,10778579,22865174
0088,8578667,25062932,10793897,22849256
0089,8571584,25070253,10816243,22827579
0090,8571680,25070007,10771688,22871598
0091,8571274,25069948,10759268,22884072
0092,8571559,25070091,10788922,22854495
0093,8571426,25070173,10741487,22901991
0094,8571718,25069968,10731145,22912205
0095,8571566,25069943,10738770,22903966
0096,8571247,25070148,10784535,22858740
0097,8570956,25070121,10790507,22852738
0098,8571673,25070240,10727676,22915683
0099,8571254,25070029,10761470,22881448
0100,8571610,25070249,10764163,22878956
0101,8571171,25070144,10742979,22900361
0102,8571614,25070162,10782061,22861192
0103,8570954,25070077,10791777,22851578
0104,8571650,25070140,10753994,22889474
0105,8571302,25070149,10794776,22848716
