run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
0001,8582479,25060130,9980183,23662919
0002,8580603,25061006,9993828,23650093
0003,8580185,25061358,9994699,23648824
0004,8580530,25061342,9919412,23724191
0005,8579768,25062213,9996690,23646253
0006,8571639,25070061,9980978,23662920
0007,8571776,25069977,9993292,23650724
0008,8571890,25070029,9990809,23652987
0009,8571689,25070155,10006460,23636975
0010,8571318,25070022,10001113,23642811
0011,8571513,25070099,9995274,23648130
0012,8571232,25070082,9992269,23651106
0013,8580932,25061146,9952215,23691103
0014,8581913,25060478,9983960,23660450
0015,8571494,25070058,9994376,23648443
0016,8571886,25070000,10001338,23642176
0017,8571348,25070118,9996858,23646516
0018,8571499,25070134,9955652,23688002
0019,8571603,25070170,10002019,23641632
0020,8572034,25070168,9984385,23658722
0021,8571684,25069930,10010811,23633238
0022,8571317,25069916,9992648,23650748
0023,8571406,25070150,9954990,23687539
0024,8571715,25069954,9983883,23659437
0025,8571387,25069916,10008557,23635316
0026,8571735,25069971,9991885,23651590
0027,8571455,25069989,10009158,23634194
0028,8571617,25070002,9998513,23644751
0029,8571686,25070090,9988888,23654463
0030,8572033,25070075,9938252,23705269
0031,8571597,25070004,9992962,23650272
0032,8571962,25069897,9999973,23643672
0033,8571273,25070082,9927606,23715244
0034,8571434,25070016,9992251,23650998
0035,8571565,25070301,9971754,23671643
0036,8571760,25070002,9988114,23655922
0037,8571621,25069872,9997739,23645212
0038,8571722,25070454,10007221,23635468
0039,8571820,25069860,9995558,23647520
0040,8571992,25070173,9944150,23699270
0041,8571523,25069892,9986447,23656607
0042,8583542,25058407,9998015,23645431
0043,8571684,25069984,9998527,23645335
0044,8655985,24987294,9999110,23644349
0045,8571368,25070040,9942171,23701235
0046,8571953,25070147,9983311,23660356
0047,8571311,25070080,10034981,23607641
0048,8571783,25070137,9994566,23649250
0049,8571515,25069984,9984961,23657730
0050,8571045,25070122,9998154,23645929
0051,8571472,25070067,9922255,23721541
0052,8586651,25055475,10038715,23605543
0053,8571617,25070113,9978591,23664812
0054,8571067,25070081,10009060,23633515
0055,8571371,25070170,9957007,23687025
0056,8582905,25058917,10006057,23637272
0057,8585804,25056091,9949477,23694062
0058,8581422,25060255,10002530,23641317
0059,8571221,25070141,9992657,23651597
0060,8571477,25069893,10000876,23642988
0061,8571387,25070075,9995985,23646926
0062,8571400,25069967,9995208,23647959
0063,8580585,25061483,9949067,23695144
0064,8571867,25070092,10003403,23640021
0065,8571493,25070157,9958833,23684473
0066,8585551,25056128,9987696,23655466
0067,8571857,25070019,9983091,23659993
0068,8571532,25070116,9997934,23645018
0069,8571517,25070110,9999768,23643850
0070,8571327,25070130,9990744,23652623
0071,8571463,25069994,10001909,23642062
0072,8571646,25069929,9943429,23700270
0073,8571254,25070101,9935951,23707906
0074,8571618,25069931,9991358,23651829
0075,8585323,25056964,9924558,23719710
0076,8592888,25049164,10005435,23637635
0077,8571502,25070137,9920965,23722790
0078,8585447,25056073,10004931,23638420
0079,8571328,25070073,10049273,23594714
0080,8571325,25069979,9964521,23679363
0081,8571224,25070051,9993897,23650088
0082,8571386,25069976,9997475,23645761
0083,8571437,25070116,9993500,23650539
0084,8571621,25070187,9996765,23646508
0085,8571297,25070018,9998743,23645532
0086,8571350,25070059,9999455,23643966
0087,12584757,21199108,10007538,23636692
0088,8571240,25070028,9963259,23680190
0089,8571567,25070060,9922150,23721284
0090,8571218,25069867,9976517,23667638
0091,8571617,25070040,10004293,23639469
0092,8571567,25069996,10012804,23630200
0093,8571197,25070024,9960157,23683027
0094,8571932,25070020,10012637,23630527
0095,8571614,25070004,10002960,23641439
0096,8571874,25070138,10004856,23637956
0097,8571599,25069981,9999116,23645551
0098,8571654,25070012,9961309,23682311
0099,8571608,25070025,9956573,23686930
0100,8571557,25070108,10010824,23633020
0101,8571281,25070142,9998724,23645419
0102,8571471,25070059,10015299,23628309
0103,8571788,25069982,9981730,23662313
0104,8571546,25070246,9958857,23684736
0105,8571545,25069899,10004984,23638762
0106,8571845,25070259,9997308,23646921
0107,8571378,25070118,9996971,23646858
0108,8571502,25070166,9944995,23698697
0109,8571257,25070108,9993641,23650064
0110,8571794,25070386,9937662,23706157
0111,8571855,25070111,10032412,23612028
0112,8571603,25070091,10011555,23631819
0113,8571440,25070123,9984706,23659276
0114,8571872,25069986,9941449,23701966
0115,8571495,25069991,9952855,23690820
0116,8571588,25070021,9989915,23653137
0117,8571049,25070188,9937880,23706690
0118,8571714,25070047,9922252,23721855
0119,8571398,25069922,10024761,23619404
0120,8571339,25070051,9945661,23697676
0121,8571463,25070044,9989507,23654967
0122,8571639,25070068,9959818,23683647
0123,8571588,25069898,9999395,23644145
0124,8571394,25069960,10009017,23634548
0125,8571263,25070159,10005237,23638242
0126,8571732,25069998,10005099,23638038
0127,8571705,25069927,9912484,23731158
0128,8571143,25070003,10008342,23635045
0129,8571596,25070093,9973603,23670272
0130,8571444,25069961,9971494,23671910
0131,8571403,25070201,10009914,23634703
0132,8571344,25070044,9964604,23678990
0133,8571416,25070255,9930478,23713577
0134,8571632,25070039,9966599,23677080
0135,8571651,25070094,9910319,23733768
0136,8571287,25070045,10000935,23642529
0137,8571811,25070020,9993140,23650836
0138,8571818,25070109,9996615,23647372
0139,8571463,25069964,10001299,23642841
0140,8571920,25070217,9952718,23691350
0141,8571465,25070004,10006824,23636394
0142,8571590,25070311,9994876,23648911
0143,8571297,25070115,9951882,23691763
0144,8572487,25070473,10002945,23640934
0145,8576015,25065872,9953310,23690288
0146,8571946,25070250,9991918,23651168
0147,8571468,25070011,10005200,23638253
0148,8571785,25070098,9989166,23654190
0149,8571519,25070088,10000185,23642970
0150,8571645,25070138,9926862,23715752
0151,8571496,25070000,10044846,23598201
0152,8571479,25069853,9966534,23677395
0153,8571354,25070114,10000169,23643055
0154,8571700,25069933,9994016,23648901
0155,8571232,25070157,9968293,23674678
0156,8571948,25069915,9990097,23652822
0157,8571211,25070184,10017624,23626192
0158,8571532,25069830,9944814,23698569
0159,8571296,25069962,9995292,23648051
0160,8571823,25070131,9926139,23717204
0161,8572127,25069963,9999834,23643336
0162,8571550,25070220,9997090,23647181
0163,8571599,25070030,10007573,23636444
