run,baseline_elim,baseline_notelim,openssl_elim,openssl_notelim,add_elim,add_notelim,double_elim,double_notelim,mul_elim,mul_notelim,ad_elim,ad_notelim
0001,8571259,25069977,10768945,22874212,12261319,21380706,12824671,20817495,13382328,20258950,12271315,21370528
0002,8571297,25070253,10782741,22860682,12269845,21372499,12822432,20819536,13384788,20256686,12271847,21369990
0003,8571465,25070093,10800449,22843135,12261496,21380857,12828003,20814156,13384168,20256992,12269083,21372723
0004,8571852,25069890,10759123,22884291,12264422,21377788,12822484,20819595,13377801,20263839,12263856,21378668
0005,8571778,25069973,10795252,22848192,12264793,21376916,12823232,20818689,13384658,20256221,12263249,21378746
0006,8571366,25070180,10709488,22933934,12267484,21374563,12823238,20818636,13385877,20255790,12278446,21363517
0007,8571415,25070063,10734394,22909695,12266323,21375962,12819694,20822346,13385664,20255923,12265189,21376529
0008,8571263,25070137,10738806,22904608,12271778,21370306,12819619,20822249,13384118,20256723,12294357,21347461
0009,8571522,25070070,10746470,22896808,12263999,21378182,12829469,20812569,13387285,20253629,12262601,21379494
0010,8571665,25070079,10511709,23131768,12257971,21384034,12819899,20821625,13371380,20270203,12269472,21372590
0011,8571959,25069990,10790963,22852597,12268231,21373543,12831320,20810825,13386141,20255131,12276079,21365994
0012,8571457,25070007,10752343,22891454,12268827,21373116,12815877,20826072,13384958,20256355,12269713,21372050
0013,8571229,25070064,10731881,22911234,12267108,21374679,12822483,20819504,13386050,20255484,12254938,21387247
0014,8571447,25070165,10803192,22839601,12267652,21374031,12821488,20820530,13378940,20262629,12268687,21373251
0015,8571516,25070180,10773927,22868998,12261469,21381083,12826255,20815423,13379346,20262239,12268428,21373642
0016,8571635,25070027,10774070,22869704,12263821,21378356,12826717,20815062,13386482,20255049,12263486,21378343
0017,8571488,25070296,10764433,22879198,12263763,21378516,12809019,20833011,13377107,20264125,12262064,21380136
0018,8571636,25069891,10793667,22849704,12256443,21385705,12816362,20825704,13392632,20248422,12264319,21377960
0019,8571577,25070092,10741188,22902206,12259043,21383119,12820534,20821181,13368732,20272477,12261028,21380885
0020,8571918,25070008,10741127,22902357,12265946,21376135,12811328,20830203,13380656,20260690,12265559,21376480
0021,8571488,25070182,10727968,22915227,12266019,21376439,12820722,20821315,13379295,20261938,12264830,21377190
0022,8571375,25070061,10803519,22839523,12267205,21375069,12847791,20794360,13381032,20260231,12262768,21379462
0023,8571551,25070077,10759003,22884262,12263882,21377936,12822678,20819287,13388554,20252610,12264886,21376801
0024,8571852,25069976,10789601,22853810,12260472,21381590,12824562,20817074,13381008,20260267,12267173,21375323
0025,8571926,25069904,10770766,22873082,12266638,21375022,12827595,20814302,13387672,20253649,12263280,21378572
0026,8571607,25070018,10744251,22899112,12266206,21375982,12809144,20832581,13385970,20255738,12267333,21375127
0027,8571442,25070130,10767995,22874536,12265512,21376594,12830422,20811795,13381564,20259766,12269121,21372893
